idx,Scenario,beta,rr_reinfection_once_recovered,prop_of_failures_developing_inh_R,prop_of_failures_developing_rif_R,cdr_start_time,cdr_final_level,tsr_start_time,fitness_inh_R,fitness_rif_R,fitness_mdr,prev_infectious_dispersion_param,notifications_dispersion_param,perc_strain_inh_R_dispersion_param,perc_strain_rif_R_dispersion_param,perc_strain_mdr_dispersion_param,loglikelihood,accept
run_5271,S_0,7.16257876469954,1.42649885946242,0.875382354122739,0.0172135604429195,1956.87414268986,0.499857447866954,1973.18400692915,1.11962681622323,0.792132490748142,1.15774105845763,0.000386332066496831,9021.40270776004,1.84865676953141,0.0114222249694754,0.650731324378107,-6.3820745057061,1
run_5272,S_0,6.97107356318301,1.34494780714356,0.873289680651426,0.0288037175689256,1954.33993754326,0.485602325096165,1969.78132952613,1.11742067524284,0.751236354057885,1.19344413124744,0.00036890856564826,8447.56543121208,1.79096415449771,0.0135797651816201,0.683866853231645,-34.8249473142926,0
run_5273,S_0,6.65168741907271,1.28099294251304,0.789158977862572,0.0269250046133981,1956.75254559442,0.521594136315563,1970.26723985271,1.09554819045917,0.706740114418121,1.15870335169904,0.000329174345049593,8544.67609474327,1.7570737553661,0.0138771708937591,0.64217925880899,-28.9449591580053,0
run_5274,S_0,7.18518506112913,1.40061632150225,0.850975348535218,0.0385986203918522,1957.09845829321,0.501803006988928,1972.67938267434,1.11699214271092,0.805189973569788,1.15067380742584,0.00037611458394141,9089.29471446346,1.79422231871494,0.0121169918093454,0.652582694500001,-238.098827910637,0
run_5275,S_0,7.28581688256887,1.37081773191236,0.852235165403267,0.0144192445395375,1954.5068331842,0.479387394498849,1970.79006608853,1.11925665066408,0.790486654059565,1.1902447936375,0.000382439314909569,8397.24763351491,1.77770924933025,0.0124547981234739,0.664242270740982,-14.1834808697037,0
run_5276,S_0,7.19699897834153,1.47910522144927,0.851598483049325,0.0211118487375222,1958.40405526654,0.54181712015964,1974.85774906547,1.10976109161442,0.802421622323418,1.10731089327032,0.000383225205227766,9115.28527596823,1.83541547686767,0.0109707939150039,0.599123424840295,-27.5708245978108,0
run_5277,S_0,6.97528217397734,1.36753530965739,0.820346841463876,0.0201825894939184,1956.81228951255,0.537490164679494,1971.28608248146,1.10168753130445,0.716817334192107,1.14155917061465,0.000348261031883394,8485.48896954662,1.76943619238789,0.0138450813288629,0.623885342120546,-7.69752715338974,0
run_5278,S_0,6.68788656508044,1.37412871717763,0.829330860229417,0.0208617916422536,1958.09651362678,0.522697034598064,1973.37976456749,1.10893076975293,0.773421419495711,1.14882780136492,0.000361045550286761,9235.35857015103,1.83363252366872,0.0112540479876486,0.639158377299385,-14.0318530110241,0
run_5279,S_0,7.08986081367415,1.4498289759604,0.883638184540858,0.0208813924858937,1956.94384229063,0.522689972797461,1973.02127203467,1.12103786987013,0.767818963253443,1.14850398342299,0.00037789736464819,8949.02742052579,1.83749245696658,0.0121915246375556,0.643456042455864,-13.2358002173068,0
run_5280,S_0,6.87941038267642,1.31033929014675,0.793467214540347,0.0298796453723507,1957.55399325497,0.50827922124996,1971.14776726582,1.09994262739844,0.749411342865725,1.16088256218439,0.000343433612552737,8931.22192647553,1.77459690609801,0.0132919090759398,0.643594160047428,-55.0081615353273,0
run_5281,S_0,7.08455122042378,1.43513023502895,0.851409045446861,0.0160954128426427,1957.12142984779,0.521838976176735,1973.09934337835,1.11567049720954,0.795841503876973,1.14807822310459,0.000376124058161574,8947.1190686261,1.80649509421435,0.0117072561031619,0.631798494408244,-7.77949019823449,0
run_5282,S_0,7.4838552490386,1.46228681942268,0.842922395321917,0.0163810278416679,1957.55170854539,0.521996567448667,1973.89100080969,1.11233516933645,0.800643483839543,1.12228785505379,0.000386604884016256,8833.20254434845,1.80801074443878,0.0117203091824495,0.606451307639119,-7.45539096281456,1
run_5283,S_0,7.1242372131353,1.42504123232949,0.79589191776526,0.0128027436223277,1957.9776546414,0.568414086109522,1972.27584616107,1.09489310653961,0.727738962036796,1.11339775903724,0.000346730240088929,8563.39542353948,1.7523229182815,0.0140441396934005,0.582109074533388,-17.6013438005335,0
run_5284,S_0,7.54778757412602,1.36723613962261,0.762000667618731,0.0273706668463974,1957.74226978493,0.537622974009286,1972.08554204223,1.09177110040504,0.752100213892437,1.09702212024716,0.000354203095173515,8227.73772126077,1.70163362035225,0.0137641685338508,0.574037858692586,-50.5086992857749,0
run_5285,S_0,7.13391146941862,1.34251667679477,0.749070356337343,0.0247120338840217,1957.58029746852,0.558260857224702,1970.16709595512,1.08130206878005,0.717250666223947,1.12748673168618,0.000325326900778431,8378.69957139651,1.68668057104672,0.0154609537504873,0.587699505485516,-23.733541161832,0
run_5286,S_0,7.32168693460251,1.40696210065032,0.820043316516599,0.0368114198069308,1958.0815128853,0.522051197439846,1973.98076811237,1.10564718886144,0.79008590498983,1.10116917516663,0.000374572813074889,8847.2316349733,1.79517218568768,0.0115668921288006,0.602768267406648,-256.417014052647,0
run_5287,S_0,7.06795886713076,1.36910670749406,0.731425502975123,0.0223459710572174,1960.19364310231,0.552545173397922,1973.97134621192,1.08643279263146,0.767346903730054,1.09459836309986,0.000337088191291174,9113.77362809864,1.75749549036253,0.0123011541986791,0.569017641963505,-27.1411632194223,0
run_5288,S_0,7.54944953838341,1.31854932615852,0.814624994572509,0.0272821522573774,1955.09677034283,0.508995623534345,1969.40638364663,1.10286937295307,0.694517122747493,1.14679825389329,0.000352902937786186,7693.52813925481,1.70907751225904,0.015120677080604,0.627746306843996,-21.3798604588786,0
run_5289,S_0,7.21572303344899,1.33804880660506,0.778223376080561,0.0183105750524608,1956.33602388739,0.55942471660329,1969.69368332516,1.08872696055857,0.6571644600537,1.12494786963825,0.000324572466956693,7802.4826472963,1.69333356400855,0.0159724214428746,0.595434619896126,-8.84004683806692,0
run_5290,S_0,7.09626511819461,1.45823534440422,0.852943273843761,0.022029067747164,1957.02585892223,0.54658470143857,1972.10929495617,1.10524472561563,0.751761954738596,1.13453120877306,0.000364040894539634,8834.15530486488,1.80313604093837,0.0138932226941325,0.617810802569831,-17.2135967384559,0
run_5291,S_0,7.10715905662089,1.39383280459898,0.857262516471342,0.0108809214392306,1955.7545066233,0.520760662444899,1970.62409790136,1.1107052827045,0.723149331758036,1.17660898318224,0.000362615494409766,8515.1780215576,1.79674380553468,0.0141126794085638,0.649554541516479,-31.091112099743,0
