idx,Scenario,beta,rr_reinfection_once_recovered,prop_of_failures_developing_inh_R,prop_of_failures_developing_rif_R,cdr_start_time,cdr_final_level,tsr_start_time,fitness_inh_R,fitness_rif_R,fitness_mdr,prev_infectious_dispersion_param,notifications_dispersion_param,perc_strain_inh_R_dispersion_param,perc_strain_rif_R_dispersion_param,perc_strain_mdr_dispersion_param,loglikelihood,accept
run_0,S_0,18.6685647799116,1.03024445420168,0.524184839408268,0.600414280175524,1958.85272317155,0.56914153262954,1969.77898400003,1.07494946168691,0.779255737122851,0.899671946169951,0.000877339691334476,30338.0367196812,0.901605754431636,0.064982661052872,0.473257708768563,-6600.66027368505,1
run_1,S_0,17.9601379232353,1.0262042784394,0.494346156874046,0.746548509579001,1959.45593501687,0.513934949444427,1969.8281686489,1.07211352787099,0.81658408897819,0.996240059072662,0.000797120430245846,29637.7997840455,0.71417011369534,0.0543303597162317,0.476349914782207,-11150.7727270102,0
run_2,S_0,17.8655258950953,1.07417671094978,0.561365571109338,0.50584125812117,1959.83186463015,0.523940358961046,1971.6584846287,1.05480686054219,0.817671085772503,0.942515517340452,0.000933446242668822,34029.4844728582,0.913856382386928,0.0777939638105736,0.51909427849409,-3196.71626613789,1
run_3,S_0,14.973246139131,1.01101048620785,0.567762575386811,0.457745993230906,1958.81145819364,0.495304350551872,1971.25869696821,1.06617762673394,0.791923131693025,0.981546043085204,0.000931874774657197,37558.3283537459,1.05868733649853,0.0767550054623955,0.561867248721044,-2280.08682390787,1
run_4,S_0,10.618243926038,0.959249794416806,0.524196091744377,0.406653813286329,1958.88035486072,0.53144779729988,1970.57288080751,1.08905930778969,0.792109034418972,1.07071034691646,0.000883986476894277,37077.0584605709,1.06737670088316,0.075639077219955,0.578280919935213,-2129.90224692707,1
run_5,S_0,8.68803204507738,0.962072462980698,0.527037237457651,0.420901361727268,1959.53287638705,0.499505162538655,1969.68308270174,1.06902018883054,0.800453009027367,1.0192080472764,0.000953054914143887,38840.2045049698,0.988756768487893,0.0630928776982427,0.603949976190763,-2894.9392360507,0
run_6,S_0,10.9163135401474,0.860463838268035,0.449504544346579,0.407964925797634,1955.28617690183,0.512810095520351,1971.06775197504,1.0623416614738,0.747631554279105,1.05260682705425,0.000964442357965043,38858.5976301765,1.03890005515516,0.0741497816876554,0.603810021166604,-2244.06912562268,0
run_7,S_0,9.90034531578211,0.939750552757837,0.469395627870007,0.467140806109822,1957.89992399359,0.520739466798426,1972.14528487211,1.07918636817421,0.772700962125382,1.05116977191564,0.000926591179427673,37512.9813224462,0.928372274097836,0.0678202616656211,0.542270846082131,-3485.88537361123,0
run_8,S_0,12.4654334784269,1.04020984920673,0.486273094374264,0.374064799636737,1958.72760167259,0.535290413057599,1972.15884617374,1.08607980935652,0.809716456340622,1.14344192160277,0.000919518750104347,40325.4058475467,1.02489910295661,0.0717469846129584,0.610841539847567,-2260.24358597674,0
run_9,S_0,11.5558588364036,1.13430143611676,0.490892711250367,0.450284510772553,1959.41798269699,0.533567565832407,1971.74547380402,1.11614666879845,0.735605845711857,1.1006190893872,0.000904032341870086,37711.4310850689,1.00657470170663,0.0717329264163998,0.506341616857903,-2695.12105701167,0
